scenario,strategy,concurrency,backend_ms,iteration,actual_loads,expected_loads,duplicate_loads,amplification,throughput,p50_ms,p95_ms,p99_ms,max_ms,lock_contentions,unrelated_key_wait_ms,flights_created,coalesced_callers,peak_waiters,ttl_ms,request_count,successful_requests,cache_hits,cache_misses,peak_concurrent_loads,lock_acquisitions,lock_wait_ms,unrelated_key_contentions,coalescing_ratio,b_request_latency_ms,shuffle_seed,wave_offset_ms
HotKeyBurst,SingleFlight,2,100,2,1,1,0,1,19.425076024891293,102.8017,102.9057,102.9057,102.9057,0,0,1,1,1,1000,2,2,0,2,1,0,0,0,0.5,0,,0
HotKeyBurst,SingleFlight,2,100,3,1,1,0,1,19.007648677827959,105.1591,105.1797,105.1797,105.1797,0,0,1,1,1,1000,2,2,0,2,1,0,0,0,0.5,0,,0
HotKeyBurst,SingleFlight,2,100,4,1,1,0,1,19.886784535638608,100.5125,100.5408,100.5408,100.5408,0,0,1,1,1,1000,2,2,0,2,1,0,0,0,0.5,0,,0
HotKeyBurst,SingleFlight,2,100,5,1,1,0,1,18.773983764258841,106.4704,106.50109999999999,106.50109999999999,106.50109999999999,0,0,1,1,1,1000,2,2,0,2,1,0,0,0,0.5,0,,0
HotKeyBurst,NaiveCacheAside,4,100,1,4,1,3,4,37.673651989639744,106.1362,106.16549999999999,106.16549999999999,106.16549999999999,0,0,0,0,0,1000,4,4,0,4,4,0,0,0,0,0,,0
HotKeyBurst,NaiveCacheAside,4,100,2,4,1,3,4,37.104718792612452,107.7358,107.7942,107.7942,107.7942,0,0,0,0,0,1000,4,4,0,4,4,0,0,0,0,0,,0
HotKeyBurst,NaiveCacheAside,4,100,3,4,1,3,4,37.628713718864589,106.2401,106.2929,106.2929,106.2929,0,0,0,0,0,1000,4,4,0,4,4,0,0,0,0,0,,0
HotKeyBurst,NaiveCacheAside,4,100,4,4,1,3,4,37.398591382055592,106.8182,106.8917,106.8917,106.8917,0,0,0,0,0,1000,4,4,0,4,4,0,0,0,0,0,,0
HotKeyBurst,NaiveCacheAside,4,100,5,4,1,3,4,38.384879428295605,104.0986,104.12730000000001,104.12730000000001,104.12730000000001,0,0,0,0,0,1000,4,4,0,4,4,0,0,0,0,0,,0
HotKeyBurst,GlobalLock,4,100,1,1,1,0,1,38.023934165360387,105.11709999999999,105.1498,105.1498,105.1498,3,0,0,0,0,1000,4,4,0,4,1,4,315.3494,0,0,0,,0
HotKeyBurst,GlobalLock,4,100,2,1,1,0,1,39.698214175835304,100.61279999999999,100.74930000000001,100.74930000000001,100.74930000000001,3,0,0,0,0,1000,4,4,0,4,1,4,301.83850000000001,0,0,0,,0
HotKeyBurst,GlobalLock,4,100,3,1,1,0,1,38.092226995389886,104.94889999999999,104.9885,104.9885,104.9885,3,0,0,0,0,1000,4,4,0,4,1,4,314.83420000000001,0,0,0,,0
HotKeyBurst,GlobalLock,4,100,4,1,1,0,1,38.376630167293321,104.1854,104.1876,104.1876,104.1876,3,0,0,0,0,1000,4,4,0,4,1,4,312.54750000000001,0,0,0,,0
HotKeyBurst,GlobalLock,4,100,5,1,1,0,1,37.636821608052024,106.21429999999999,106.2247,106.2247,106.2247,3,0,0,0,0,1000,4,4,0,4,1,4,318.61040000000003,0,0,0,,0
HotKeyBurst,SingleFlight,4,100,1,1,1,0,1,37.0094170461674,108.0175,108.0454,108.0454,108.0454,0,0,1,3,3,1000,4,4,0,4,1,0,0,0,0.75,0,,0
HotKeyBurst,SingleFlight,4,100,2,1,1,0,1,36.757509788984329,108.694,108.77330000000001,108.77330000000001,108.77330000000001,0,0,1,3,3,1000,4,4,0,4,1,0,0,0,0.75,0,,0
HotKeyBurst,SingleFlight,4,100,3,1,1,0,1,36.104146019608159,110.73050000000001,110.7756,110.7756,110.7756,0,0,1,3,3,1000,4,4,0,4,1,0,0,0,0.75,0,,0
HotKeyBurst,SingleFlight,4,100,4,1,1,0,1,37.368300097344424,107.0117,107.02500000000001,107.02500000000001,107.02500000000001,0,0,1,3,3,1000,4,4,0,4,1,0,0,0,0.75,0,,0
HotKeyBurst,SingleFlight,4,100,5,1,1,0,1,37.654146662901248,106.1253,106.2175,106.2175,106.2175,0,0,1,3,3,1000,4,4,0,4,1,0,0,0,0.75,0,,0
HotKeyBurst,NaiveCacheAside,8,100,1,8,1,7,8,74.587136888839993,107.0847,107.16589999999999,107.16589999999999,107.16589999999999,0,0,0,0,0,1000,8,8,0,8,8,0,0,0,0,0,,0
HotKeyBurst,NaiveCacheAside,8,100,2,8,1,7,8,76.909839556460952,103.8759,103.941,103.941,103.941,0,0,0,0,0,1000,8,8,0,8,8,0,0,0,0,0,,0
